Element	Gene	Ensembl	Element_type	Category	MoF	Tissue
gc19_pc.cds::gencode::ERCC3::ENSG00000163161.8	ERCC3	ENSG00000163161.8	cds	prior_unique	LoF	PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::ERCC4::ENSG00000175595.10	ERCC4	ENSG00000175595.10	cds	prior_unique	LoF	PANCANCER;Ovary-AdenoCA;Skin-Melanoma
gc19_pc.cds::gencode::ERCC5::ENSG00000134899.13	ERCC5	ENSG00000134899.13	cds	prior_unique	LoF	PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::ERCC6::ENSG00000225830.6	ERCC6	ENSG00000225830.6	cds	prior_unique	ambiguous	Ovary-AdenoCA
gc19_pc.cds::gencode::ESR1::ENSG00000091831.17	ESR1	ENSG00000091831.17	cds	prior_unique	Act	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa;PANCANCER
gc19_pc.cds::gencode::ETNK1::ENSG00000139163.11	ETNK1	ENSG00000139163.11	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::ETV6::ENSG00000139083.6	ETV6	ENSG00000139083.6	cds	prior_unique	Act	Myeloid-AML
gc19_pc.cds::gencode::EXT1::ENSG00000182197.6	EXT1	ENSG00000182197.6	cds	prior_unique	LoF	Bone-Osteosarc
gc19_pc.cds::gencode::EXT2::ENSG00000151348.9	EXT2	ENSG00000151348.9	cds	prior_unique	LoF	Bone-Osteosarc
gc19_pc.cds::gencode::FAF1::ENSG00000185104.15	FAF1	ENSG00000185104.15	cds	prior_unique	LoF	Skin-Melanoma
gc19_pc.cds::gencode::FAM175A::ENSG00000163322.9	FAM175A	ENSG00000163322.9	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::FAM46C::ENSG00000183508.4	FAM46C	ENSG00000183508.4	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::FANCA::ENSG00000187741.10	FANCA	ENSG00000187741.10	cds	prior_unique	LoF	Myeloid-AML;PANCANCER;Prost-AdenoCA
gc19_pc.cds::gencode::FANCC::ENSG00000158169.7	FANCC	ENSG00000158169.7	cds	prior_unique	LoF	Bladder-TCC;Myeloid-AML;PANCANCER
gc19_pc.cds::gencode::FANCD2::ENSG00000144554.6	FANCD2	ENSG00000144554.6	cds	prior_unique	LoF	Myeloid-AML;PANCANCER
gc19_pc.cds::gencode::FANCE::ENSG00000112039.3	FANCE	ENSG00000112039.3	cds	prior_unique	LoF	Myeloid-AML;PANCANCER
gc19_pc.cds::gencode::FANCF::ENSG00000183161.3	FANCF	ENSG00000183161.3	cds	prior_unique	LoF	Myeloid-AML;PANCANCER
gc19_pc.cds::gencode::FANCG::ENSG00000221829.5	FANCG	ENSG00000221829.5	cds	prior_unique	LoF	Myeloid-AML;PANCANCER
gc19_pc.cds::gencode::FANCI::ENSG00000140525.13	FANCI	ENSG00000140525.13	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::FAS::ENSG00000026103.15	FAS	ENSG00000026103.15	cds	prior_unique	LoF	Cervix-AdenoCA;Cervix-SCC;Lymph-BNHL;PANCANCER
gc19_pc.cds::gencode::FAT2::ENSG00000086570.8	FAT2	ENSG00000086570.8	cds	prior_unique	Act	Head-SCC
gc19_pc.cds::gencode::FCRL4::ENSG00000163518.6	FCRL4	ENSG00000163518.6	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::FGFR2::ENSG00000066468.16	FGFR2	ENSG00000066468.16	cds	prior_unique	Act	Eso-AdenoCa;Lung-SCC;Lymph-CLL;PANCANCER;Uterus-AdenoCA
gc19_pc.cds::gencode::FGFR4::ENSG00000160867.10	FGFR4	ENSG00000160867.10	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::FH::ENSG00000091483.6	FH	ENSG00000091483.6	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::FIP1L1::ENSG00000145216.11	FIP1L1	ENSG00000145216.11	cds	prior_unique	Act	Prost-AdenoCA
gc19_pc.cds::gencode::FKBP5::ENSG00000096060.10	FKBP5	ENSG00000096060.10	cds	prior_unique	Act	Bladder-TCC
gc19_pc.cds::gencode::FLCN::ENSG00000154803.8	FLCN	ENSG00000154803.8	cds	prior_unique	LoF	ColoRect-AdenoCA;PANCANCER
gc19_pc.cds::gencode::FLT1::ENSG00000102755.6	FLT1	ENSG00000102755.6	cds	prior_unique	unknown	PANCANCER
gc19_pc.cds::gencode::FLT3::ENSG00000122025.10	FLT3	ENSG00000122025.10	cds	prior_unique	Act	Eso-AdenoCa;Liver-HCC;Myeloid-AML;PANCANCER
gc19_pc.cds::gencode::FLT4::ENSG00000037280.11	FLT4	ENSG00000037280.11	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::FMR1::ENSG00000102081.9	FMR1	ENSG00000102081.9	cds	prior_unique	LoF	CNS-Medullo;PANCANCER
gc19_pc.cds::gencode::FN1::ENSG00000115414.14	FN1	ENSG00000115414.14	cds	prior_unique	LoF	Lung-AdenoCA;Lung-SCC;PANCANCER
gc19_pc.cds::gencode::FOXA2::ENSG00000125798.10	FOXA2	ENSG00000125798.10	cds	prior_unique	LoF	Uterus-AdenoCA
gc19_pc.cds::gencode::FOXL2::ENSG00000183770.5	FOXL2	ENSG00000183770.5	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::FOXO1::ENSG00000150907.6	FOXO1	ENSG00000150907.6	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::FOXP1::ENSG00000114861.14	FOXP1	ENSG00000114861.14	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::FRG1::ENSG00000109536.7	FRG1	ENSG00000109536.7	cds	prior_unique	LoF	Prost-AdenoCA
gc19_pc.cds::gencode::FUS::ENSG00000089280.14	FUS	ENSG00000089280.14	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::FXR1::ENSG00000114416.13	FXR1	ENSG00000114416.13	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::G3BP1::ENSG00000145907.10	G3BP1	ENSG00000145907.10	cds	prior_unique	ambiguous	Lung-AdenoCA
gc19_pc.cds::gencode::G3BP2::ENSG00000138757.10	G3BP2	ENSG00000138757.10	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::G6PD::ENSG00000160211.11	G6PD	ENSG00000160211.11	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::GATA1::ENSG00000102145.9	GATA1	ENSG00000102145.9	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::GATA2::ENSG00000179348.7	GATA2	ENSG00000179348.7	cds	prior_unique	Act	Myeloid-AML
gc19_pc.cds::gencode::GJB2::ENSG00000165474.5	GJB2	ENSG00000165474.5	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::GNA11::ENSG00000088256.4	GNA11	ENSG00000088256.4	cds	prior_unique	Act	PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::GNAI1::ENSG00000127955.11	GNAI1	ENSG00000127955.11	cds	prior_unique	LoF	Lymph-CLL;PANCANCER
gc19_pc.cds::gencode::GNAQ::ENSG00000156052.6	GNAQ	ENSG00000156052.6	cds	prior_unique	Act	PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::GNG2::ENSG00000186469.4	GNG2	ENSG00000186469.4	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::GOLGA5::ENSG00000066455.8	GOLGA5	ENSG00000066455.8	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::GPC3::ENSG00000147257.9	GPC3	ENSG00000147257.9	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::GPS2::ENSG00000132522.11	GPS2	ENSG00000132522.11	cds	prior_unique	LoF	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa;Lymph-CLL;PANCANCER
gc19_pc.cds::gencode::GPSM2::ENSG00000121957.8	GPSM2	ENSG00000121957.8	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::GTF2F2::ENSG00000188342.7	GTF2F2	ENSG00000188342.7	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::HCFC1::ENSG00000172534.9	HCFC1	ENSG00000172534.9	cds	prior_unique	Act	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa
gc19_pc.cds::gencode::HDAC2::ENSG00000196591.7	HDAC2	ENSG00000196591.7	cds	prior_unique	LoF	Panc-AdenoCA;Prost-AdenoCA
gc19_pc.cds::gencode::HDAC3::ENSG00000171720.5	HDAC3	ENSG00000171720.5	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::HDAC9::ENSG00000048052.17	HDAC9	ENSG00000048052.17	cds	prior_unique	Act	PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::HERC2::ENSG00000128731.11	HERC2	ENSG00000128731.11	cds	prior_unique	ambiguous	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa
gc19_pc.cds::gencode::HGF::ENSG00000019991.11	HGF	ENSG00000019991.11	cds	prior_unique	Act	Eso-AdenoCa;PANCANCER
gc19_pc.cds::gencode::HIC2::ENSG00000169635.5	HIC2	ENSG00000169635.5	cds	prior_unique	ambiguous	Panc-AdenoCA
gc19_pc.cds::gencode::HIST1H3A::ENSG00000198366.5	HIST1H3A	ENSG00000198366.5	cds	prior_unique	ambiguous	CNS-Oligo
gc19_pc.cds::gencode::HIST1H3B::ENSG00000124693.2	HIST1H3B	ENSG00000124693.2	cds	prior_unique	Act	CNS-Oligo
gc19_pc.cds::gencode::HIST1H3C::ENSG00000196532.4	HIST1H3C	ENSG00000196532.4	cds	prior_unique	ambiguous	CNS-Oligo
gc19_pc.cds::gencode::HIST1H3D::ENSG00000197409.6	HIST1H3D	ENSG00000197409.6	cds	prior_unique	ambiguous	CNS-Oligo
gc19_pc.cds::gencode::HIST1H3E::ENSG00000196966.3	HIST1H3E	ENSG00000196966.3	cds	prior_unique	ambiguous	CNS-Oligo
gc19_pc.cds::gencode::HIST1H3F::ENSG00000256316.1	HIST1H3F	ENSG00000256316.1	cds	prior_unique	ambiguous	CNS-Oligo
gc19_pc.cds::gencode::HIST1H3G::ENSG00000256018.1	HIST1H3G	ENSG00000256018.1	cds	prior_unique	ambiguous	CNS-Oligo
gc19_pc.cds::gencode::HIST1H3H::ENSG00000203813.4	HIST1H3H	ENSG00000203813.4	cds	prior_unique	ambiguous	CNS-Oligo
gc19_pc.cds::gencode::HIST1H3I::ENSG00000182572.2	HIST1H3I	ENSG00000182572.2	cds	prior_unique	ambiguous	CNS-Oligo
gc19_pc.cds::gencode::HIST1H3J::ENSG00000197153.3	HIST1H3J	ENSG00000197153.3	cds	prior_unique	ambiguous	CNS-Oligo
gc19_pc.cds::gencode::HLF::ENSG00000108924.9	HLF	ENSG00000108924.9	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::HNF1A::ENSG00000135100.13	HNF1A	ENSG00000135100.13	cds	prior_unique	LoF	Kidney-RCC;Liver-HCC;PANCANCER;Prost-AdenoCA
gc19_pc.cds::gencode::HSP90AA1::ENSG00000080824.14	HSP90AA1	ENSG00000080824.14	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::HSP90AB1::ENSG00000096384.15	HSP90AB1	ENSG00000096384.15	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::HSPA8::ENSG00000109971.9	HSPA8	ENSG00000109971.9	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::IFNGR1::ENSG00000027697.8	IFNGR1	ENSG00000027697.8	cds	prior_unique	unknown	Cervix-AdenoCA;Cervix-SCC
gc19_pc.cds::gencode::IGF2R::ENSG00000197081.8	IGF2R	ENSG00000197081.8	cds	prior_unique	LoF	Liver-HCC
gc19_pc.cds::gencode::IKBKB::ENSG00000104365.9	IKBKB	ENSG00000104365.9	cds	prior_unique	ambiguous	Lymph-BNHL
gc19_pc.cds::gencode::IKZF1::ENSG00000185811.12	IKZF1	ENSG00000185811.12	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::IKZF3::ENSG00000161405.12	IKZF3	ENSG00000161405.12	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::IL6ST::ENSG00000134352.15	IL6ST	ENSG00000134352.15	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::IL7R::ENSG00000168685.10	IL7R	ENSG00000168685.10	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::ING1::ENSG00000153487.11	ING1	ENSG00000153487.11	cds	prior_unique	LoF	Head-SCC;Uterus-AdenoCA
gc19_pc.cds::gencode::ING2::ENSG00000168556.5	ING2	ENSG00000168556.5	cds	prior_unique	LoF	Panc-AdenoCA
gc19_pc.cds::gencode::INHBA::ENSG00000122641.9	INHBA	ENSG00000122641.9	cds	prior_unique	ambiguous	Panc-AdenoCA
gc19_pc.cds::gencode::INPP4A::ENSG00000040933.11	INPP4A	ENSG00000040933.11	cds	prior_unique	LoF	Uterus-AdenoCA
gc19_pc.cds::gencode::INPP4B::ENSG00000109452.8	INPP4B	ENSG00000109452.8	cds	prior_unique	LoF	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa
gc19_pc.cds::gencode::INPPL1::ENSG00000165458.9	INPPL1	ENSG00000165458.9	cds	prior_unique	LoF	Uterus-AdenoCA
gc19_pc.cds::gencode::IREB2::ENSG00000136381.8	IREB2	ENSG00000136381.8	cds	prior_unique	Act	Eso-AdenoCa;PANCANCER
gc19_pc.cds::gencode::IRF1::ENSG00000125347.9	IRF1	ENSG00000125347.9	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::IRF2::ENSG00000168310.6	IRF2	ENSG00000168310.6	cds	prior_unique	LoF	Stomach-AdenoCA
gc19_pc.cds::gencode::IRF6::ENSG00000117595.6	IRF6	ENSG00000117595.6	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::IRF7::ENSG00000185507.15	IRF7	ENSG00000185507.15	cds	prior_unique	Act	Skin-Melanoma
gc19_pc.cds::gencode::IRF8::ENSG00000140968.6	IRF8	ENSG00000140968.6	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::IRS2::ENSG00000185950.7	IRS2	ENSG00000185950.7	cds	prior_unique	LoF	Eso-AdenoCa;PANCANCER
gc19_pc.cds::gencode::ITGA9::ENSG00000144668.7	ITGA9	ENSG00000144668.7	cds	prior_unique	Act	Skin-Melanoma
gc19_pc.cds::gencode::ITSN1::ENSG00000205726.9	ITSN1	ENSG00000205726.9	cds	prior_unique	LoF	Eso-AdenoCa;Liver-HCC;PANCANCER
gc19_pc.cds::gencode::JAGN1::ENSG00000171135.10	JAGN1	ENSG00000171135.10	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::JAK1::ENSG00000162434.7	JAK1	ENSG00000162434.7	cds	prior_unique	ambiguous	Myeloid-AML;PANCANCER
gc19_pc.cds::gencode::JAK2::ENSG00000096968.8	JAK2	ENSG00000096968.8	cds	prior_unique	ambiguous	Myeloid-AML;PANCANCER
gc19_pc.cds::gencode::JAK3::ENSG00000105639.14	JAK3	ENSG00000105639.14	cds	prior_unique	Act	Lymph-NOS;PANCANCER
gc19_pc.cds::gencode::JMY::ENSG00000152409.8	JMY	ENSG00000152409.8	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::KANSL1::ENSG00000120071.8	KANSL1	ENSG00000120071.8	cds	prior_unique	LoF	Panc-AdenoCA
gc19_pc.cds::gencode::KAT6B::ENSG00000156650.8	KAT6B	ENSG00000156650.8	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::KAT8::ENSG00000103510.15	KAT8	ENSG00000103510.15	cds	prior_unique	ambiguous	Panc-AdenoCA
gc19_pc.cds::gencode::KCNJ5::ENSG00000120457.7	KCNJ5	ENSG00000120457.7	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::KDM1A::ENSG00000004487.11	KDM1A	ENSG00000004487.11	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::KDR::ENSG00000128052.8	KDR	ENSG00000128052.8	cds	prior_unique	Act	CNS-GBM;Lung-AdenoCA;PANCANCER
gc19_pc.cds::gencode::KIT::ENSG00000157404.11	KIT	ENSG00000157404.11	cds	prior_unique	Act	Myeloid-AML;PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::KLF4::ENSG00000136826.10	KLF4	ENSG00000136826.10	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::KLF5::ENSG00000102554.9	KLF5	ENSG00000102554.9	cds	prior_unique	unknown	Cervix-AdenoCA;Cervix-SCC
gc19_pc.cds::gencode::KLF6::ENSG00000067082.10	KLF6	ENSG00000067082.10	cds	prior_unique	LoF	CNS-Oligo;PANCANCER;Prost-AdenoCA
gc19_pc.cds::gencode::LCP1::ENSG00000136167.9	LCP1	ENSG00000136167.9	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::LDHA::ENSG00000134333.9	LDHA	ENSG00000134333.9	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::LEP::ENSG00000174697.4	LEP	ENSG00000174697.4	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::LIMA1::ENSG00000050405.9	LIMA1	ENSG00000050405.9	cds	prior_unique	LoF	Bladder-TCC
gc19_pc.cds::gencode::LMO1::ENSG00000166407.9	LMO1	ENSG00000166407.9	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::LNPEP::ENSG00000113441.11	LNPEP	ENSG00000113441.11	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::LRP6::ENSG00000070018.4	LRP6	ENSG00000070018.4	cds	prior_unique	Act	Eso-AdenoCa;PANCANCER
gc19_pc.cds::gencode::LRPPRC::ENSG00000138095.14	LRPPRC	ENSG00000138095.14	cds	prior_unique	LoF	Skin-Melanoma
gc19_pc.cds::gencode::LZTS1::ENSG00000061337.11	LZTS1	ENSG00000061337.11	cds	prior_unique	LoF	Eso-AdenoCa
gc19_pc.cds::gencode::MACF1::ENSG00000127603.19	MACF1	ENSG00000127603.19	cds	prior_unique	Act	Eso-AdenoCa;Head-SCC;Liver-HCC;PANCANCER
gc19_pc.cds::gencode::MAD1L1::ENSG00000002822.11	MAD1L1	ENSG00000002822.11	cds	prior_unique	LoF	Lymph-NOS;Prost-AdenoCA
gc19_pc.cds::gencode::MAGI2::ENSG00000187391.13	MAGI2	ENSG00000187391.13	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::MAP2K1::ENSG00000169032.5	MAP2K1	ENSG00000169032.5	cds	prior_unique	Act	ColoRect-AdenoCA;Lung-AdenoCA;PANCANCER;Ovary-AdenoCA;Skin-Melanoma
gc19_pc.cds::gencode::MAP2K2::ENSG00000126934.9	MAP2K2	ENSG00000126934.9	cds	prior_unique	Act	PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::MAP3K11::ENSG00000173327.3	MAP3K11	ENSG00000173327.3	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::MAP3K13::ENSG00000073803.9	MAP3K13	ENSG00000073803.9	cds	prior_unique	ambiguous	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa
gc19_pc.cds::gencode::MAP3K4::ENSG00000085511.15	MAP3K4	ENSG00000085511.15	cds	prior_unique	Act	Eso-AdenoCa;PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::MAP4K1::ENSG00000104814.8	MAP4K1	ENSG00000104814.8	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::MAP4K3::ENSG00000011566.10	MAP4K3	ENSG00000011566.10	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::MAPK1::ENSG00000100030.10	MAPK1	ENSG00000100030.10	cds	prior_unique	unknown	Cervix-AdenoCA;Cervix-SCC
gc19_pc.cds::gencode::MARK2::ENSG00000072518.16	MARK2	ENSG00000072518.16	cds	prior_unique	ambiguous	Panc-AdenoCA
gc19_pc.cds::gencode::MAT2A::ENSG00000168906.8	MAT2A	ENSG00000168906.8	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::MAX::ENSG00000125952.14	MAX	ENSG00000125952.14	cds	prior_unique	Act	PANCANCER;Uterus-AdenoCA
gc19_pc.cds::gencode::MCC::ENSG00000171444.13	MCC	ENSG00000171444.13	cds	prior_unique	LoF	ColoRect-AdenoCA
gc19_pc.cds::gencode::MCM3::ENSG00000112118.13	MCM3	ENSG00000112118.13	cds	prior_unique	Act	Skin-Melanoma
gc19_pc.cds::gencode::MCM8::ENSG00000125885.9	MCM8	ENSG00000125885.9	cds	prior_unique	Act	Skin-Melanoma
gc19_pc.cds::gencode::MECOM::ENSG00000085276.13	MECOM	ENSG00000085276.13	cds	prior_unique	Act	Bladder-TCC;PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::MED12::ENSG00000184634.11	MED12	ENSG00000184634.11	cds	prior_unique	Act	Cervix-AdenoCA;Cervix-SCC;Eso-AdenoCa;Lymph-CLL;PANCANCER;Prost-AdenoCA
gc19_pc.cds::gencode::MED17::ENSG00000042429.6	MED17	ENSG00000042429.6	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::MED23::ENSG00000112282.13	MED23	ENSG00000112282.13	cds	prior_unique	LoF	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa
gc19_pc.cds::gencode::MED24::ENSG00000008838.13	MED24	ENSG00000008838.13	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::MEF2C::ENSG00000081189.9	MEF2C	ENSG00000081189.9	cds	prior_unique	Act	Head-SCC
gc19_pc.cds::gencode::MET::ENSG00000105976.10	MET	ENSG00000105976.10	cds	prior_unique	Act	Eso-AdenoCa;Head-SCC;Kidney-RCC;Liver-HCC;PANCANCER
gc19_pc.cds::gencode::MFNG::ENSG00000100060.13	MFNG	ENSG00000100060.13	cds	prior_unique	Act	Skin-Melanoma
gc19_pc.cds::gencode::MGA::ENSG00000174197.12	MGA	ENSG00000174197.12	cds	prior_unique	LoF	Bladder-TCC;CNS-Medullo;Eso-AdenoCa;Lung-AdenoCA;PANCANCER;Uterus-AdenoCA
gc19_pc.cds::gencode::MGMT::ENSG00000170430.9	MGMT	ENSG00000170430.9	cds	prior_unique	Act	Head-SCC
gc19_pc.cds::gencode::MITF::ENSG00000187098.10	MITF	ENSG00000187098.10	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::MKL1::ENSG00000196588.10	MKL1	ENSG00000196588.10	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::MLH1::ENSG00000076242.10	MLH1	ENSG00000076242.10	cds	prior_unique	LoF	ColoRect-AdenoCA;Lung-AdenoCA;PANCANCER;Ovary-AdenoCA;Stomach-AdenoCA
gc19_pc.cds::gencode::MLH3::ENSG00000119684.11	MLH3	ENSG00000119684.11	cds	prior_unique	LoF	ColoRect-AdenoCA;Uterus-AdenoCA
gc19_pc.cds::gencode::MLLT4::ENSG00000130396.16	MLLT4	ENSG00000130396.16	cds	prior_unique	Act	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa
gc19_pc.cds::gencode::MMP2::ENSG00000087245.8	MMP2	ENSG00000087245.8	cds	prior_unique	Act	Lung-AdenoCA
gc19_pc.cds::gencode::MNDA::ENSG00000163563.7	MNDA	ENSG00000163563.7	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::MPL::ENSG00000117400.10	MPL	ENSG00000117400.10	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::MRE11A::ENSG00000020922.8	MRE11A	ENSG00000020922.8	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::MSH2::ENSG00000095002.8	MSH2	ENSG00000095002.8	cds	prior_unique	LoF	ColoRect-AdenoCA;PANCANCER;Ovary-AdenoCA
gc19_pc.cds::gencode::MSH3::ENSG00000113318.9	MSH3	ENSG00000113318.9	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::MSH6::ENSG00000116062.10	MSH6	ENSG00000116062.10	cds	prior_unique	LoF	ColoRect-AdenoCA;PANCANCER;Ovary-AdenoCA
gc19_pc.cds::gencode::MSR1::ENSG00000038945.10	MSR1	ENSG00000038945.10	cds	prior_unique	LoF	Eso-AdenoCa;PANCANCER;Skin-Melanoma
gc19_pc.cds::gencode::MUC20::ENSG00000176945.12	MUC20	ENSG00000176945.12	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::MUC4::ENSG00000145113.17	MUC4	ENSG00000145113.17	cds	prior_unique	ambiguous	Cervix-AdenoCA;Cervix-SCC;PANCANCER
gc19_pc.cds::gencode::MUTYH::ENSG00000132781.13	MUTYH	ENSG00000132781.13	cds	prior_unique	LoF	ColoRect-AdenoCA;PANCANCER
gc19_pc.cds::gencode::MYB::ENSG00000118513.14	MYB	ENSG00000118513.14	cds	prior_unique	Act	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa;Lung-SCC;PANCANCER
gc19_pc.cds::gencode::MYC::ENSG00000136997.10	MYC	ENSG00000136997.10	cds	prior_unique	Act	Lymph-CLL;PANCANCER
gc19_pc.cds::gencode::MYCN::ENSG00000134323.10	MYCN	ENSG00000134323.10	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::MYH10::ENSG00000133026.8	MYH10	ENSG00000133026.8	cds	prior_unique	Act	Liver-HCC;PANCANCER;Uterus-AdenoCA
gc19_pc.cds::gencode::MYH11::ENSG00000133392.12	MYH11	ENSG00000133392.12	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::MYH14::ENSG00000105357.11	MYH14	ENSG00000105357.11	cds	prior_unique	Act	Breast-AdenoCa;Breast-DCIS;Breast-LobularCa
gc19_pc.cds::gencode::MYH9::ENSG00000100345.16	MYH9	ENSG00000100345.16	cds	prior_unique	Act	Head-SCC;PANCANCER;Stomach-AdenoCA
gc19_pc.cds::gencode::MYOD1::ENSG00000129152.3	MYOD1	ENSG00000129152.3	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::NAP1L1::ENSG00000187109.9	NAP1L1	ENSG00000187109.9	cds	prior_unique	LoF	PANCANCER
gc19_pc.cds::gencode::NBN::ENSG00000104320.9	NBN	ENSG00000104320.9	cds	prior_unique	LoF	CNS-Medullo;CNS-Oligo;Lymph-BNHL;PANCANCER
gc19_pc.cds::gencode::NCF2::ENSG00000116701.10	NCF2	ENSG00000116701.10	cds	prior_unique	ambiguous	PANCANCER
gc19_pc.cds::gencode::NCK1::ENSG00000158092.2	NCK1	ENSG00000158092.2	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::NCKAP1::ENSG00000061676.10	NCKAP1	ENSG00000061676.10	cds	prior_unique	LoF	Eso-AdenoCa;PANCANCER
gc19_pc.cds::gencode::NCOR2::ENSG00000196498.9	NCOR2	ENSG00000196498.9	cds	prior_unique	Act	Bladder-TCC
gc19_pc.cds::gencode::NDRG1::ENSG00000104419.10	NDRG1	ENSG00000104419.10	cds	prior_unique	Act	PANCANCER
gc19_pc.cds::gencode::NEDD4L::ENSG00000049759.12	NEDD4L	ENSG00000049759.12	cds	prior_unique	Act	PANCANCER;Uterus-AdenoCA
gc19_pc.cds::gencode::NF2::ENSG00000186575.13	NF2	ENSG00000186575.13	cds	prior_unique	LoF	Cervix-AdenoCA;Cervix-SCC;PANCANCER;Panc-AdenoCA
gc19_pc.cds::gencode::NFATC4::ENSG00000100968.9	NFATC4	ENSG00000100968.9	cds	prior_unique	LoF	Liver-HCC;PANCANCER
